split,start,end,method,cash_flow_mae,cash_flow_rmse,cash_flow_wape,balance_mae,ending_balance_error
validation_2025-03-01,2025-03-01,2025-04-29,seasonal_naive,13390.571166666667,32222.47932692261,0.12157015646722136,205587.97233333372,343105.8200000003
validation_2025-03-01,2025-03-01,2025-04-29,gradient_boosting,7539.554921386907,19266.612737539508,0.06845002054638882,67185.93102968954,109736.86578630283
validation_2025-06-01,2025-06-01,2025-07-30,seasonal_naive,14172.917166666668,24261.271492848817,0.11712330964315831,237342.6093333333,-306823.26999999955
validation_2025-06-01,2025-06-01,2025-07-30,gradient_boosting,9747.424843531886,22656.358915945395,0.08055156498462089,248841.66212941188,-280391.00639447384
validation_2025-09-01,2025-09-01,2025-10-30,seasonal_naive,12389.439833333334,32697.198941989944,0.10666821924682816,189359.25350000014,-177203.7999999998
validation_2025-09-01,2025-09-01,2025-10-30,gradient_boosting,8153.742917482909,22028.144954645268,0.07020052955617263,181063.6415437621,-143790.53688568715
